folder,inner_folder,method,R,quartet_score
37-taxon,estimated-genetrees/0.5X-200-500,RAND,17,65277
37-taxon,estimated-genetrees/0.5X-200-500,MP,18,64785
37-taxon,estimated-genetrees/0.5X-200-500,MV,18,64785
37-taxon,estimated-genetrees/0.5X-200-500,OG,18,66045
37-taxon,estimated-genetrees/0.5X-200-500,RD,18,63513
37-taxon,estimated-genetrees/0.5X-200-500,RAND,18,65613
37-taxon,estimated-genetrees/0.5X-200-500,MP,19,64449
37-taxon,estimated-genetrees/0.5X-200-500,MV,19,64449
37-taxon,estimated-genetrees/0.5X-200-500,OG,19,64449
37-taxon,estimated-genetrees/0.5X-200-500,RD,19,65825
37-taxon,estimated-genetrees/0.5X-200-500,RAND,19,64689
37-taxon,estimated-genetrees/0.5X-200-500,MP,20,64689
37-taxon,estimated-genetrees/0.5X-200-500,MV,20,64017
37-taxon,estimated-genetrees/0.5X-200-500,OG,20,64017
37-taxon,estimated-genetrees/0.5X-200-500,RD,20,65277
37-taxon,estimated-genetrees/0.5X-200-500,RAND,20,64605
37-taxon,estimated-genetrees/1X-200-500,MP,1,65949
37-taxon,estimated-genetrees/1X-200-500,MV,1,65949
37-taxon,estimated-genetrees/1X-200-500,OG,1,65949
37-taxon,estimated-genetrees/1X-200-500,RD,1,64145
37-taxon,estimated-genetrees/1X-200-500,RAND,1,65373
37-taxon,estimated-genetrees/1X-200-500,MP,2,66045
37-taxon,estimated-genetrees/1X-200-500,MV,2,66045
37-taxon,estimated-genetrees/1X-200-500,OG,2,65979
37-taxon,estimated-genetrees/1X-200-500,RD,2,65211
37-taxon,estimated-genetrees/1X-200-500,RAND,2,65373
37-taxon,estimated-genetrees/1X-200-500,MP,3,64785
37-taxon,estimated-genetrees/1X-200-500,MV,3,64785
37-taxon,estimated-genetrees/1X-200-500,OG,3,64785
37-taxon,estimated-genetrees/1X-200-500,RD,3,65277
37-taxon,estimated-genetrees/1X-200-500,RAND,3,65277
37-taxon,estimated-genetrees/1X-200-500,MP,4,66045
37-taxon,estimated-genetrees/1X-200-500,MV,4,66045
37-taxon,estimated-genetrees/1X-200-500,OG,4,66045
37-taxon,estimated-genetrees/1X-200-500,RD,4,65373
37-taxon,estimated-genetrees/1X-200-500,RAND,4,65373
37-taxon,estimated-genetrees/1X-200-500,MP,5,65373
37-taxon,estimated-genetrees/1X-200-500,MV,5,65373
37-taxon,estimated-genetrees/1X-200-500,OG,5,65373
37-taxon,estimated-genetrees/1X-200-500,RD,5,65249
37-taxon,estimated-genetrees/1X-200-500,RAND,5,65277
37-taxon,estimated-genetrees/1X-200-500,MP,6,65805
37-taxon,estimated-genetrees/1X-200-500,MV,6,65805
37-taxon,estimated-genetrees/1X-200-500,OG,6,65739
37-taxon,estimated-genetrees/1X-200-500,RD,6,65519
37-taxon,estimated-genetrees/1X-200-500,RAND,6,65739
37-taxon,estimated-genetrees/1X-200-500,MP,7,65949
37-taxon,estimated-genetrees/1X-200-500,MV,7,65949
37-taxon,estimated-genetrees/1X-200-500,OG,7,65883
37-taxon,estimated-genetrees/1X-200-500,RD,7,65883
37-taxon,estimated-genetrees/1X-200-500,RAND,7,65883
37-taxon,estimated-genetrees/1X-200-500,MP,8,66045
37-taxon,estimated-genetrees/1X-200-500,MV,8,66045
37-taxon,estimated-genetrees/1X-200-500,OG,8,66045
37-taxon,estimated-genetrees/1X-200-500,RD,8,66045
37-taxon,estimated-genetrees/1X-200-500,RAND,8,66045
37-taxon,estimated-genetrees/1X-200-500,MP,9,65277
37-taxon,estimated-genetrees/1X-200-500,MV,9,64605
37-taxon,estimated-genetrees/1X-200-500,OG,9,65277
37-taxon,estimated-genetrees/1X-200-500,RD,9,64701
37-taxon,estimated-genetrees/1X-200-500,RAND,9,65277
37-taxon,estimated-genetrees/1X-200-500,MP,10,64785
37-taxon,estimated-genetrees/1X-200-500,MV,10,64785
37-taxon,estimated-genetrees/1X-200-500,OG,10,64785
37-taxon,estimated-genetrees/1X-200-500,RD,10,65037
37-taxon,estimated-genetrees/1X-200-500,RAND,10,65373
37-taxon,estimated-genetrees/1X-200-500,MP,11,66045
37-taxon,estimated-genetrees/1X-200-500,MV,11,66045
37-taxon,estimated-genetrees/1X-200-500,OG,11,66045
37-taxon,estimated-genetrees/1X-200-500,RD,11,65249
37-taxon,estimated-genetrees/1X-200-500,RAND,11,65373
37-taxon,estimated-genetrees/1X-200-500,MP,12,65805
37-taxon,estimated-genetrees/1X-200-500,MV,12,65805
37-taxon,estimated-genetrees/1X-200-500,OG,12,65805
37-taxon,estimated-genetrees/1X-200-500,RD,12,65709
37-taxon,estimated-genetrees/1X-200-500,RAND,12,65373
37-taxon,estimated-genetrees/1X-200-500,MP,13,64689
37-taxon,estimated-genetrees/1X-200-500,MV,13,64689
37-taxon,estimated-genetrees/1X-200-500,OG,13,64689
37-taxon,estimated-genetrees/1X-200-500,RD,13,65277
37-taxon,estimated-genetrees/1X-200-500,RAND,13,65949
37-taxon,estimated-genetrees/1X-200-500,MP,14,65245
37-taxon,estimated-genetrees/1X-200-500,MV,14,65245
37-taxon,estimated-genetrees/1X-200-500,OG,14,65805
37-taxon,estimated-genetrees/1X-200-500,RD,14,65373
37-taxon,estimated-genetrees/1X-200-500,RAND,14,65373
37-taxon,estimated-genetrees/1X-200-500,MP,15,63665
37-taxon,estimated-genetrees/1X-200-500,MV,15,63665
37-taxon,estimated-genetrees/1X-200-500,OG,15,63665
37-taxon,estimated-genetrees/1X-200-500,RD,15,65149
37-taxon,estimated-genetrees/1X-200-500,RAND,15,65277
37-taxon,estimated-genetrees/1X-200-500,MP,16,65805
37-taxon,estimated-genetrees/1X-200-500,MV,16,65805
37-taxon,estimated-genetrees/1X-200-500,OG,16,65805
37-taxon,estimated-genetrees/1X-200-500,RD,16,65585
37-taxon,estimated-genetrees/1X-200-500,RAND,16,65709
37-taxon,estimated-genetrees/1X-200-500,MP,17,65709
37-taxon,estimated-genetrees/1X-200-500,MV,17,65709
37-taxon,estimated-genetrees/1X-200-500,OG,17,65709
37-taxon,estimated-genetrees/1X-200-500,RD,17,65277
37-taxon,estimated-genetrees/1X-200-500,RAND,17,65613
37-taxon,estimated-genetrees/1X-200-500,MP,18,66045
37-taxon,estimated-genetrees/1X-200-500,MV,18,66045
37-taxon,estimated-genetrees/1X-200-500,OG,18,66045
37-taxon,estimated-genetrees/1X-200-500,RD,18,66045
37-taxon,estimated-genetrees/1X-200-500,RAND,18,65373
37-taxon,estimated-genetrees/1X-200-500,MP,19,65949
37-taxon,estimated-genetrees/1X-200-500,MV,19,65949
37-taxon,estimated-genetrees/1X-200-500,OG,19,65949
37-taxon,estimated-genetrees/1X-200-500,RD,19,65277
37-taxon,estimated-genetrees/1X-200-500,RAND,19,64701
37-taxon,estimated-genetrees/1X-200-500,MP,20,64689
37-taxon,estimated-genetrees/1X-200-500,MV,20,64689
37-taxon,estimated-genetrees/1X-200-500,OG,20,64689
37-taxon,estimated-genetrees/1X-200-500,RD,20,64605
37-taxon,estimated-genetrees/1X-200-500,RAND,20,64817
